,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"kappa_k[Dep_4, 2]",3.058,0.276,2.59,3.498,0.003,0.002,7144.0,5530.0,1.0
"kappa_k[Dep_5, 0]",0.801,0.273,0.34,1.234,0.003,0.002,7662.0,5401.0,1.0
"kappa_k[Dep_5, 1]",1.96,0.271,1.493,2.386,0.003,0.002,7861.0,5890.0,1.0
"kappa_k[Dep_5, 2]",3.064,0.279,2.62,3.536,0.003,0.002,8225.0,6049.0,1.0
"kappa_k[Dep_6, 0]",0.769,0.279,0.303,1.225,0.003,0.002,7329.0,5525.0,1.0
"kappa_k[Dep_6, 1]",1.991,0.275,1.545,2.445,0.003,0.002,7409.0,5948.0,1.0
"kappa_k[Dep_6, 2]",3.065,0.284,2.591,3.524,0.003,0.002,7551.0,6094.0,1.0
"kappa_k[Dep_7, 0]",0.663,0.272,0.202,1.09,0.003,0.002,6937.0,5726.0,1.0
"kappa_k[Dep_7, 1]",1.98,0.269,1.568,2.453,0.003,0.002,6824.0,5323.0,1.0
"kappa_k[Dep_7, 2]",3.236,0.281,2.792,3.709,0.003,0.002,7287.0,5292.0,1.0
"kappa_k[Dep_8, 0]",0.987,0.279,0.518,1.434,0.003,0.002,8970.0,5845.0,1.0
"kappa_k[Dep_8, 1]",2.004,0.276,1.542,2.453,0.003,0.002,9303.0,6657.0,1.0
"kappa_k[Dep_8, 2]",3.242,0.294,2.752,3.72,0.003,0.002,9672.0,7127.0,1.0
"kappa_k[Dep_9, 0]",0.863,0.286,0.384,1.313,0.003,0.002,7246.0,5543.0,1.0
"kappa_k[Dep_9, 1]",2.058,0.283,1.594,2.519,0.003,0.002,7558.0,6089.0,1.0
"kappa_k[Dep_9, 2]",3.416,0.308,2.906,3.916,0.003,0.002,8869.0,6617.0,1.0
e1_med[0],-0.549,0.249,-0.976,-0.157,0.003,0.002,7081.0,6468.0,1.0
e1_med[1],0.972,0.305,0.469,1.469,0.004,0.003,6752.0,5569.0,1.0
e1_med[2],-0.114,0.332,-0.65,0.429,0.003,0.004,10963.0,5667.0,1.0
e1_med[3],0.277,0.251,-0.145,0.679,0.003,0.002,8233.0,6768.0,1.0
e1_med[4],-0.087,0.182,-0.387,0.207,0.002,0.002,5739.0,6593.0,1.0
e1_med[5],-0.231,0.295,-0.718,0.246,0.003,0.003,9310.0,5747.0,1.0
e1_med[6],-0.156,0.233,-0.529,0.23,0.003,0.002,7614.0,6288.0,1.0
e1_med[7],0.106,0.153,-0.146,0.347,0.002,0.002,4717.0,5094.0,1.0
e1_med[8],-0.013,0.172,-0.296,0.269,0.002,0.002,5286.0,6158.0,1.0
e1_med[9],-0.28,0.187,-0.579,0.029,0.002,0.002,5775.0,5970.0,1.0
e2_med[0],-2.452,0.298,-2.956,-1.987,0.007,0.005,1872.0,3234.0,1.0
e2_med[1],-0.409,0.278,-0.885,0.029,0.007,0.005,1698.0,2684.0,1.0
e2_med[2],0.171,0.277,-0.307,0.606,0.007,0.005,1712.0,2608.0,1.0
e2_med[3],0.144,0.279,-0.316,0.589,0.007,0.005,1703.0,2473.0,1.0
e2_med[4],0.672,0.277,0.201,1.107,0.007,0.005,1678.0,2554.0,1.0
e2_med[5],0.047,0.287,-0.415,0.525,0.007,0.005,1815.0,2946.0,1.0
e2_med[6],1.485,0.279,1.011,1.923,0.007,0.005,1746.0,2633.0,1.0
e1_out[0],-0.405,0.292,-0.871,0.082,0.004,0.003,6396.0,5344.0,1.0
e1_out[1],-0.54,0.343,-1.088,0.028,0.004,0.003,8798.0,5599.0,1.0
e1_out[2],1.149,0.44,0.459,1.908,0.005,0.004,6551.0,4959.0,1.0
e1_out[3],0.814,0.28,0.369,1.288,0.004,0.003,5197.0,5720.0,1.0
e1_out[4],0.369,0.22,0.029,0.747,0.003,0.002,4206.0,6016.0,1.0
e1_out[5],-1.05,0.417,-1.716,-0.368,0.004,0.003,10180.0,5799.0,1.0
e1_out[6],0.554,0.284,0.074,1.005,0.004,0.003,5381.0,5841.0,1.0
e1_out[7],0.066,0.178,-0.224,0.349,0.003,0.002,3172.0,4632.0,1.0
e1_out[8],0.454,0.207,0.108,0.786,0.003,0.002,3725.0,5539.0,1.0
e1_out[9],0.579,0.225,0.231,0.973,0.004,0.003,3967.0,5192.0,1.0
e2_out[0],-0.243,0.133,-0.463,-0.03,0.002,0.001,6861.0,6448.0,1.0
e2_out[1],0.022,0.103,-0.13,0.196,0.001,0.001,6151.0,5344.0,1.0
e2_out[2],0.149,0.105,-0.022,0.311,0.001,0.001,5617.0,5141.0,1.0
e2_out[3],-0.006,0.108,-0.19,0.155,0.001,0.001,6487.0,5921.0,1.0
e2_out[4],0.019,0.102,-0.146,0.177,0.001,0.001,6007.0,4948.0,1.0
e2_out[5],0.355,0.151,0.112,0.6,0.002,0.002,4052.0,4470.0,1.0
e2_out[6],-0.002,0.107,-0.175,0.165,0.001,0.001,6285.0,4894.0,1.0
"w_hat_probs[0, 0]",0.111,0.005,0.103,0.119,0.0,0.0,8403.0,7080.0,1.0
"w_hat_probs[0, 1]",0.134,0.004,0.127,0.142,0.0,0.0,8579.0,7104.0,1.0
"w_hat_probs[0, 2]",0.174,0.004,0.167,0.182,0.0,0.0,8958.0,5975.0,1.0
"w_hat_probs[0, 3]",0.253,0.005,0.245,0.261,0.0,0.0,11189.0,5323.0,1.0
"w_hat_probs[0, 4]",0.327,0.009,0.311,0.342,0.0,0.0,7905.0,7558.0,1.0
"w_hat_probs[1, 0]",0.73,0.025,0.689,0.77,0.0,0.0,7883.0,6463.0,1.0
"w_hat_probs[1, 1]",0.145,0.011,0.127,0.165,0.0,0.0,8116.0,6726.0,1.0
"w_hat_probs[1, 2]",0.064,0.007,0.053,0.075,0.0,0.0,8103.0,6297.0,1.0
"w_hat_probs[1, 3]",0.038,0.005,0.031,0.046,0.0,0.0,8044.0,6485.0,1.0
"w_hat_probs[1, 4]",0.022,0.003,0.018,0.027,0.0,0.0,7955.0,6262.0,1.0
"w_hat_probs[2, 0]",0.321,0.01,0.304,0.338,0.0,0.0,7985.0,7126.0,1.0
"w_hat_probs[2, 1]",0.231,0.005,0.222,0.239,0.0,0.0,10793.0,5264.0,1.0
"w_hat_probs[2, 2]",0.181,0.005,0.173,0.188,0.0,0.0,9812.0,6484.0,1.0
"w_hat_probs[2, 3]",0.154,0.005,0.145,0.162,0.0,0.0,8736.0,6982.0,1.0
"w_hat_probs[2, 4]",0.114,0.005,0.105,0.122,0.0,0.0,8567.0,7567.0,1.0
"w_hat_probs[3, 0]",0.22,0.011,0.203,0.238,0.0,0.0,8359.0,6633.0,1.0
"w_hat_probs[3, 1]",0.203,0.006,0.193,0.213,0.0,0.0,8715.0,6579.0,1.0
"w_hat_probs[3, 2]",0.197,0.004,0.19,0.204,0.0,0.0,10215.0,5221.0,1.0
"w_hat_probs[3, 3]",0.202,0.007,0.192,0.213,0.0,0.0,8794.0,7237.0,1.0
"w_hat_probs[3, 4]",0.177,0.009,0.163,0.193,0.0,0.0,8220.0,5998.0,1.0
"w_hat_probs[4, 0]",0.707,0.027,0.663,0.75,0.0,0.0,8125.0,6477.0,1.0
"w_hat_probs[4, 1]",0.155,0.012,0.136,0.175,0.0,0.0,8216.0,6717.0,1.0
"w_hat_probs[4, 2]",0.071,0.007,0.059,0.083,0.0,0.0,8229.0,6595.0,1.0
"w_hat_probs[4, 3]",0.042,0.005,0.034,0.051,0.0,0.0,8157.0,6592.0,1.0
"w_hat_probs[4, 4]",0.025,0.003,0.02,0.03,0.0,0.0,8044.0,6509.0,1.0
"w_hat_probs[5, 0]",0.134,0.005,0.125,0.143,0.0,0.0,8720.0,6986.0,1.0
"w_hat_probs[5, 1]",0.153,0.005,0.145,0.161,0.0,0.0,8792.0,7619.0,1.0
"w_hat_probs[5, 2]",0.185,0.004,0.178,0.192,0.0,0.0,9097.0,5662.0,1.0
"w_hat_probs[5, 3]",0.246,0.005,0.237,0.254,0.0,0.0,11103.0,5476.0,1.0
"w_hat_probs[5, 4]",0.282,0.009,0.268,0.297,0.0,0.0,7972.0,7080.0,1.0
"w_hat_probs[6, 0]",0.318,0.01,0.3,0.334,0.0,0.0,8023.0,7026.0,1.0
"w_hat_probs[6, 1]",0.23,0.005,0.222,0.239,0.0,0.0,10787.0,5323.0,1.0
"w_hat_probs[6, 2]",0.181,0.005,0.174,0.189,0.0,0.0,9858.0,6455.0,1.0
"w_hat_probs[6, 3]",0.155,0.005,0.146,0.163,0.0,0.0,8753.0,7033.0,1.0
"w_hat_probs[6, 4]",0.115,0.005,0.106,0.123,0.0,0.0,8537.0,7455.0,1.0
"w_hat_probs[7, 0]",0.503,0.057,0.407,0.592,0.001,0.0,8657.0,5853.0,1.0
"w_hat_probs[7, 1]",0.22,0.013,0.2,0.239,0.0,0.0,9111.0,6579.0,1.0
"w_hat_probs[7, 2]",0.129,0.017,0.102,0.157,0.0,0.0,8480.0,5868.0,1.0
"w_hat_probs[7, 3]",0.09,0.016,0.063,0.116,0.0,0.0,8557.0,5789.0,1.0
"w_hat_probs[7, 4]",0.058,0.013,0.038,0.078,0.0,0.0,8655.0,5978.0,1.0
"w_hat_probs[8, 0]",0.126,0.005,0.117,0.135,0.0,0.0,8416.0,7472.0,1.0
"w_hat_probs[8, 1]",0.147,0.005,0.139,0.155,0.0,0.0,8574.0,7171.0,1.0
"w_hat_probs[8, 2]",0.182,0.004,0.175,0.189,0.0,0.0,9276.0,5629.0,1.0
"w_hat_probs[8, 3]",0.249,0.005,0.24,0.257,0.0,0.0,10848.0,5652.0,1.0
"w_hat_probs[8, 4]",0.296,0.009,0.281,0.311,0.0,0.0,8276.0,6948.0,1.0
"w_hat_probs[9, 0]",0.177,0.007,0.165,0.188,0.0,0.0,8456.0,6624.0,1.0
"w_hat_probs[9, 1]",0.182,0.005,0.173,0.19,0.0,0.0,9347.0,7108.0,1.0
"w_hat_probs[9, 2]",0.196,0.004,0.189,0.203,0.0,0.0,10077.0,5179.0,1.0
"w_hat_probs[9, 3]",0.225,0.005,0.217,0.235,0.0,0.0,10142.0,6926.0,1.0
"w_hat_probs[9, 4]",0.221,0.008,0.205,0.234,0.0,0.0,8366.0,7010.0,1.0
"w_hat_probs[10, 0]",0.115,0.005,0.108,0.123,0.0,0.0,8176.0,6946.0,1.0
"w_hat_probs[10, 1]",0.138,0.004,0.13,0.145,0.0,0.0,8427.0,7198.0,1.0
"w_hat_probs[10, 2]",0.177,0.004,0.17,0.184,0.0,0.0,8980.0,5599.0,1.0
"w_hat_probs[10, 3]",0.252,0.005,0.244,0.261,0.0,0.0,11094.0,5375.0,1.0
"w_hat_probs[10, 4]",0.318,0.009,0.302,0.332,0.0,0.0,7768.0,7090.0,1.0
"w_hat_probs[11, 0]",0.174,0.008,0.16,0.188,0.0,0.0,8270.0,6792.0,1.0
"w_hat_probs[11, 1]",0.18,0.006,0.171,0.19,0.0,0.0,8875.0,6738.0,1.0
"w_hat_probs[11, 2]",0.195,0.004,0.188,0.203,0.0,0.0,9548.0,5352.0,1.0
