wave,gender,income_comparison,age,mean_effect,std,sem,hdi_5,hdi_95
Wave-6,Female,"£0-£300→£1,112+",76.88888888888889,0.06840324531397515,0.023983574892051066,0.0007584272309210834,0.0285189298797801,0.1075690080367836
Wave-6,Female,"£0-£300→£1,112+",77.9047619047619,0.0682902150899964,0.02395688826935594,0.000757583325813342,0.028508278233655763,0.10726879037864696
Wave-6,Female,"£0-£300→£1,112+",78.92063492063491,0.06817642770391788,0.023930484203238286,0.0007567483559291273,0.028493187106361322,0.10693561537448713
Wave-6,Female,"£0-£300→£1,112+",79.93650793650794,0.06806190961873036,0.02390437720334072,0.0007559227801036265,0.02847776198368922,0.106665389527527
Wave-6,Female,"£0-£300→£1,112+",80.95238095238095,0.06794668659753896,0.023878580802642775,0.0007551070262872278,0.02846200500560645,0.1063939953329606
Wave-6,Female,"£0-£300→£1,112+",81.96825396825396,0.06783078370080921,0.023853107555901944,0.0007543014914962229,0.028445918299721908,0.10629641220163576
Wave-6,Female,"£0-£300→£1,112+",82.98412698412699,0.06771422528539597,0.02382796904129543,0.0007535065418647229,0.028429503980883255,0.10635808301675521
Wave-6,Female,"£0-£300→£1,112+",84.0,0.06759703500527588,0.023803175865118636,0.000752722512793238,0.028412764150793357,0.1063587297312366
Wave-6,Male,£0-£300→£301-£490,20.0,0.10057339806390975,0.025792222561333827,0.0008156216921179682,0.06010106388453954,0.14415187735316892
Wave-6,Male,£0-£300→£301-£490,21.015873015873016,0.10062149088660502,0.02578029367036357,0.0008152444674637099,0.060092951423953204,0.14419019579104655
Wave-6,Male,£0-£300→£301-£490,22.03174603174603,0.10066510129655463,0.025767662866698498,0.0008148450463811096,0.06008250138585613,0.1442105435313083
Wave-6,Male,£0-£300→£301-£490,23.047619047619047,0.1007042106174332,0.025754334887641596,0.0008144235786768412,0.060133054120694585,0.14422867429044203
Wave-6,Male,£0-£300→£301-£490,24.063492063492063,0.1007388024169677,0.025740315454394796,0.0008139802452711955,0.060108659212614074,0.14424502455707128
